predicted,target,RewriteLabel,DatasetLabel
Adhere to the tone of an official government document,Revise the message to adhere to the tone of an official government document.,Formality_fix,forum_messages
Improve the readability and clarity of the text by simplifying the language and organizing the information in a more logical and coherent manner.,Describe without using scientific terms,language,eli5-human
Improve clarity and professionalism in a message about setting up a remote instance and connecting to it.,Turn this into a description of a chariot race.,Theme_change,openwebtext
Simplify the language and make it more conversational,Reenvision this as a dialogue between aliens.,Genre_change,openwebtext
"Write a vivid and imaginative description of a football game, using metaphors and similes to create a sense of excitement and drama.",Reconfigure this into a cyberpunk setting.,Genre_change,eli5-chatgpt
Transform a factual text about a moth species into a mystical and poetic description of a mythical creature.,Describe using everyday language,language,openwebtext
"Take a popular sport or activity and reimagine it in a futuristic/cyberpunk setting, highlighting the unique skills and technologies required to excel in this new environment.
",Revise the message to match the formalities of an international symposium.,Formality_fix,forum_messages
"Simplify the language and structure to make the text more concise and easier to read.
",Transform this into a conflict in a digital world.,Genre_change,eli5-chatgpt
Simplify the language and make it more formal,Illustrate the advantages of engaging with:,Enhancement,forum_messages
"Create a futuristic/cyberpunk version of the original text, where digital beings are the creators of flawless digital objects.",Make this as text a melancholic indie folk melody,music,openwebtext
" Improve the clarity and readability of the text by simplifying the language, organizing the content in a more logical and structured manner, and adding more polished language to make it sound more professional.
",Rewrite this as as a cross-country road trip plot,creative,openwebtext
"Write a poem that uses imagery and symbolism to evoke a sense of nostalgia and melancholy, using the year 1990 as a focal point.
",Rewrite this as as a poignant choral arrangement,music,openwebtext
Transform a factual text about a small town into a poetic and imaginative description of the town's atmosphere and sense of isolation.,Remodel the message to ensure it adheres to academic standards.,Theme_change,forum_messages
"Write a poem that uses alliteration and assonance to create a musical quality, while still conveying the same meaning as the original text.",Adopt this as as a driving punk rock anthem,music,eli5-chatgpt
 Improve Clarity and Organization,Break it down for a child,language,eli5-human
"Write a creative and engaging piece of writing that takes a serious topic (in this case, cholesterol) and transforms it into an upbeat and energetic punk rock anthem. Use vivid imagery, strong language, and a catchy rhythm to make the topic more accessible and enjoyable for a young adult audience.",Transform a college application essay into a recommendation letter by a teacher.,Perspective_shift,eli5-chatgpt
"Write a rewritten text for a child audience, using simple language and relatable examples to explain complex concepts.
",Rewrite this as as a survival horror plot,creative,eli5-chatgpt
"Write a recommendation letter for a college application, highlighting the student's analytical thinking, critical thinking, and personal qualities.
",Rewrite this from passive to active voice.,Active/Passive,eli5-chatgpt
"Take a mundane technical topic (file server) and transform it into a thrilling horror story.

",Restructure the text into a formal report.,language,eli5-human
Simplify the language and structure for a younger audience.,Adopt the suspenseful pacing of Lee Child to alter the segment.,Style_mimic,eli5-chatgpt
